frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1970,65.666667,1,766.740303,388.276877,664.927921,380.317969,715.834112,384.297423,2.771564,2.571242,-1.935954,3.341043,0.417805,2.956142
1971,65.7,1,768.387489,388.111396,666.597538,379.51188,717.492514,383.811638,2.748605,2.54125,-1.929583,3.423044,0.409511,2.982147
1972,65.733333,1,769.301128,387.543712,667.549515,378.638434,718.425322,383.091073,2.793134,2.68523,-1.904232,3.199941,0.444451,2.942585
1973,65.766667,1,769.93515,387.390525,668.317738,378.533506,719.126444,382.962016,2.783268,2.694469,-1.89784,3.095973,0.442714,2.895221
1974,65.8,1,769.638004,387.529496,668.646088,378.882054,719.142046,383.205775,2.797856,2.731689,-1.935182,2.868009,0.431337,2.799849
1975,65.833333,1,769.560356,387.647889,668.791008,379.044735,719.175682,383.346312,2.797128,2.757732,-1.926403,2.979351,0.435362,2.868541
1976,65.866667,1,768.080349,387.332547,668.244324,379.061805,718.162336,383.197176,2.74915,2.62115,-1.913827,3.221039,0.417662,2.921094
1977,65.9,1,767.977257,386.585519,667.542019,378.926203,717.759638,382.755861,2.747982,2.536638,-1.90932,3.095258,0.419331,2.815948
1978,65.933333,1,768.371372,386.228324,667.702465,378.143588,718.036919,382.185956,2.728083,2.483564,-1.93561,2.906484,0.396236,2.695024
1979,65.966667,1,769.257259,385.946896,669.440746,377.657111,719.349003,381.802003,2.711879,2.328377,-1.904335,2.810819,0.403772,2.569598
1980,66.0,1,770.700359,385.794643,671.368961,377.335728,721.03466,381.565186,2.704977,2.431697,-1.871972,2.804873,0.416503,2.618285
2341,78.033333,1,734.772282,382.531414,636.261482,380.509189,685.516882,381.520302,2.984393,2.873503,-1.646015,1.991685,0.669189,2.432594
2342,78.066667,1,735.119972,383.065184,635.950098,380.633547,685.535035,381.849366,2.996553,2.917708,-1.667807,2.005302,0.664373,2.461505
2343,78.1,1,735.186005,383.332354,635.720987,380.65405,685.453496,381.993202,2.999955,3.015262,-1.68279,1.971345,0.658582,2.493303
2344,78.133333,1,735.042019,383.47317,635.271549,380.771821,685.156784,382.122495,2.981573,2.988087,-1.703008,2.154107,0.639283,2.571097
